shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
BREWER_N,44.79706,-68.7614,50,
BREWER_N,44.79847,-68.75872,52,
BREWER_N,44.79956,-68.75636,54,
BREWER_N,44.80031,-68.75468,56,
BREWER_N,44.80194,-68.75031,58,
BREWER_N,44.7999,-68.74888,60,
BREWER_N,44.79921,-68.74844,62,
BREWER_N,44.79886,-68.74834,64,
BREWER_N,44.79768,-68.74844,68,
BREWER_N,44.79642,-68.74911,70,
BREWER_N,44.79691,-68.7515,74,
BREWER_N,44.79696,-68.7522,76,
BREWER_N,44.79691,-68.7526,78,
BREWER_N,44.79459,-68.7595,80,
BREWER_N,44.78963,-68.75594,84,
BREWER_N,44.79048,-68.75352,86,
BREWER_N,44.78848,-68.75217,88,
BREWER_N,44.78922,-68.75045,90,
BREWER_N,44.78934,-68.75,92,
BREWER_N,44.78928,-68.74959,94,
BREWER_N,44.78896,-68.74923,96,
BREWER_N,44.78859,-68.74894,98,
BREWER_N,44.78843,-68.74852,100,
BREWER_N,44.78817,-68.74797,102,
BREWER_N,44.78813,-68.74779,104,
BREWER_N,44.78833,-68.74779,106,
BREWER_N,44.7885,-68.74807,108,
BREWER_N,44.78843,-68.74852,112,
BREWER_N,44.78859,-68.74894,114,
BREWER_N,44.78896,-68.74923,116,
BREWER_N,44.78928,-68.74959,118,
BREWER_N,44.78934,-68.75,120,
BREWER_N,44.78922,-68.75045,122,
BREWER_N,44.78848,-68.75217,126,
BREWER_N,44.78527,-68.7499,134,
BREWER_N,44.78415,-68.75142,136,
BREWER_N,44.77796,-68.737,138,
BREWER_N,44.77387,-68.72757,144,
BREWER_N,44.77214,-68.7291,148,
BREWER_N,44.77201,-68.72972,154,
BREWER_N,44.77212,-68.73095,156,
BREWER_N,44.77221,-68.73171,158,
BREWER_N,44.77235,-68.73235,160,
BREWER_N,44.77533,-68.73933,164,
BREWER_N,44.77678,-68.73811,166,
BREWER_N,44.77796,-68.737,170,
BREWER_N,44.78415,-68.75142,174,
BREWER_N,44.78438,-68.75212,178,
BREWER_N,44.78472,-68.75275,180,
BREWER_N,44.78505,-68.75267,182,
BREWER_N,44.78538,-68.75278,184,
BREWER_N,44.78963,-68.75594,186,
BREWER_N,44.79459,-68.7595,188,
BREWER_N,44.79691,-68.7526,190,
BREWER_N,44.79696,-68.7522,192,
BREWER_N,44.79691,-68.7515,194,
BREWER_N,44.79642,-68.74911,196,
BREWER_N,44.79768,-68.74844,198,
BREWER_N,44.79886,-68.74834,200,
BREWER_N,44.79921,-68.74844,202,
BREWER_N,44.7999,-68.74888,204,
BREWER_N,44.80194,-68.75031,208,
BREWER_N,44.80031,-68.75468,210,
BREWER_N,44.79956,-68.75636,212,
BREWER_N,44.79847,-68.75872,214,
BREWER_N,44.79706,-68.7614,218,
BREWER_N,44.79472,-68.76611,222,
BREWER_N,44.79636,-68.76834,224,
BREWER_N,44.79741,-68.76979,226,
BREWER_N,44.79807,-68.77117,228,
BREWER_N,44.79817,-68.77137,230,
BREWER_N,44.79836,-68.77178,238,
BREWER_N,44.7985,-68.77178,240,
BREWER_N,44.79874,-68.77154,244,
BREWER_N,44.79881,-68.77139,246,
BREWER_N,44.79851,-68.77074,250,
BREWER_N,44.79868,-68.77062,252,
BREWER_N,44.79889,-68.77017,254,
BREWER_N,44.7995,-68.77039,260,
BREWER_N,44.79996,-68.77059,266,
BREWER_S,44.79996,-68.77059,1,
BREWER_S,44.80004,-68.77068,2,
BREWER_S,44.80006,-68.77079,4,
BREWER_S,44.80006,-68.77088,6,
BREWER_S,44.80001,-68.77118,8,
BREWER_S,44.79961,-68.77133,10,
BREWER_S,44.7995,-68.77039,12,
BREWER_S,44.79889,-68.77017,14,
BREWER_S,44.79868,-68.77062,18,
BREWER_S,44.79851,-68.77074,20,
BREWER_S,44.79807,-68.77117,22,
BREWER_S,44.79767,-68.77162,24,
BREWER_S,44.79764,-68.77185,26,
BREWER_S,44.79772,-68.77206,28,
BREWER_S,44.79782,-68.77213,30,
BREWER_S,44.79795,-68.7721,32,
BREWER_S,44.79813,-68.77193,34,
BREWER_S,44.79821,-68.7717,36,
BREWER_S,44.79817,-68.77137,38,
BREWER_S,44.79741,-68.76979,44,
BREWER_S,44.79636,-68.76834,46,
BREWER_S,44.79472,-68.76611,50,
BREWER_S,44.79449,-68.76636,52,
BREWER_S,44.79258,-68.76765,54,
BREWER_S,44.78862,-68.77034,56,
BREWER_S,44.78559,-68.77114,58,
BREWER_S,44.78477,-68.77161,62,
BREWER_S,44.78389,-68.77234,64,
BREWER_S,44.78074,-68.77517,66,
BREWER_S,44.77874,-68.77679,68,
BREWER_S,44.77595,-68.77875,72,
BREWER_S,44.77535,-68.77908,74,
BREWER_S,44.77214,-68.78032,80,
BREWER_S,44.7719,-68.78036,82,
BREWER_S,44.77161,-68.78033,84,
BREWER_S,44.77002,-68.78011,86,
BREWER_S,44.76979,-68.78019,88,
BREWER_S,44.76966,-68.78036,90,
BREWER_S,44.76956,-68.78074,92,
BREWER_S,44.76935,-68.78129,94,
BREWER_S,44.76874,-68.78222,96,
BREWER_S,44.76678,-68.77972,100,
BREWER_S,44.76667,-68.77929,102,
BREWER_S,44.76653,-68.77771,106,
BREWER_S,44.76652,-68.77711,108,
BREWER_S,44.76731,-68.77335,112,
BREWER_S,44.77676,-68.76902,120,
BREWER_S,44.77736,-68.76868,122,
BREWER_S,44.77794,-68.76808,124,
BREWER_S,44.7785,-68.76719,126,
BREWER_S,44.7789,-68.76582,130,
BREWER_S,44.78165,-68.75342,140,
BREWER_S,44.78374,-68.75393,146,
BREWER_S,44.78472,-68.75275,150,
BREWER_S,44.78438,-68.75212,152,
BREWER_S,44.77796,-68.737,160,
BREWER_S,44.77387,-68.72757,166,
BREWER_S,44.77214,-68.7291,170,
BREWER_S,44.77201,-68.72972,174,
BREWER_S,44.77212,-68.73097,178,
BREWER_S,44.77221,-68.73171,180,
BREWER_S,44.77235,-68.73235,182,
BREWER_S,44.77533,-68.73933,186,
BREWER_S,44.77682,-68.73808,188,
